id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1398023040475095043,Thu May 27 21:07:21 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,qldhsk,False,,howtodresvvell,,
1398022982702796803,Thu May 27 21:07:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @underaurora_: @chococheese22 @txtfrombrand Bnr banget sicepat emg secepet itu, saking cepet nya barangnya nyampe duitnya blm ada",bnr banget sicepat emg secepet saking cepat nya barangnya nyampe duitnya,in,0,64,Rioooo23,,,"underaurora_, chococheese22, txtfrombrand","Yogyakarta,Indonesia",
1398022979573874688,Thu May 27 21:07:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @chococheese22: @txtfrombrand Sicepat miluv, beneran cepat. Baik2 terus sama kurir ya",sicepat miluv beneran cepat kurir,in,0,35,Rioooo23,,,"chococheese22, txtfrombrand","Yogyakarta,Indonesia",
1398022801383071745,Thu May 27 21:06:24 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@RiccasilvianaR baik ka ,terimakasih atas suport nya ka , ^",kakak terimakasih suport nya kakak,in,0,0,sicepat_ekspres,,,RiccasilvianaR,Indonesia,
1398022755367329794,Thu May 27 21:06:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @txtfrombrand: https://t.co/LBFUL03OEH,,und,0,36,Rioooo23,False,,txtfrombrand,"Yogyakarta,Indonesia",
1398022481189883905,Thu May 27 21:05:08 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@txtdarionlshop Mantab nih kalo perusahaan gercep melindungi karyawannya kek gini @sicepat_ekspres 👍,mantab perusahaan gercep melindungi karyawannya gini,in,0,0,RiccasilvianaR,,,"txtdarionlshop, sicepat_ekspres",Banyuwangi-PPU,
1398021927227117568,Thu May 27 21:02:56 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@txtdarionlshop keren pol sicepat emang ekpedisi favoriteee,keren pol sicepat ekpedisi favoriteee,in,0,0,ferdianaddafiq,,,txtdarionlshop,"Semarang, Indonesia",
1398021855659708417,Thu May 27 21:02:39 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,DavidHutajulu,False,,howtodresvvell,Bekasi Rock City,
1398021853168340998,Thu May 27 21:02:38 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,jualtehkotak,False,,howtodresvvell,b a l i,
1398021805424603138,Thu May 27 21:02:27 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,dexxiiii,False,,howtodresvvell,,
