,clean_text
173,kak ditempatku gk pickup dikit paketan dipickup gk dianterin 
174,min packet awb kirim via tanggal siang hingga skr cma masi processed in sorting area juanda jam pagi tanggal hingga tanggal malam kemajuan 
175,gmna prosesnya perkembangan ajh tindakan buatin laporan 
176,semangay kak maslaah ku dilempar capek 
177,setuju tidak bertanggung jawab nilai kerugian ganti 
178,selamat malam kak perihal admin bantu ditanyakan seputar pengirimannya produk sungkan konfirmasikan via dm kak terima kasih sandi 
179,kak donk sopnya inikah paketan kurir ditiriskan 
180,setuju tidak bertanggung jawab nilai kerugian ganti dengam barang dokumen nominal utus urus dokumen 
181,kak dihubungi indra terkait telepon ditanyakan 
182,semangay kak maslaah ku dilempar capek banget buang rugi ganti rugi tidak sepadan kelalaian perbuat korban 
183,a thread paket rusak hilang terbakar penanganan buruk tidak pertanggung 
184,im with you kak kakak berhak hak kakak gatau anggap kehilangan remeh sepele kakak tidak semangat kak in shaa allah coba reguler yes wallah cepat tidak pakai hilang 
185,kak informasi silahkan hubungi twitter facebook cek status paket link terima kasih rio 
186,sore kak adm cek servicenya terhitung yes estimasinya besok kak maksimal paketnya dalam proses pemberangkatan kota tujuan kakak cek ditanyakan 
187,oi ga dikirim kirim barang lambat banget nyesel pakai kurirnya mogok aneh 
188,dibantu cek barang nomor resi tjr datangi kantor cabang jaraknya dr rumah tidak memuaskan perihal barang paketan update barang tsb 
189,cek pengiriman kak ditanyakan silahkan hubungi media sosial twitter kak terima kasih opal 
190,halo kak alamat nomer telepon daerah ngoresan jebres solo terima kasih 
191,ok kurir kawasan gemar menaruh barang seenaknya tidak rumah foto konfirmasi pemilik barang 
192,min cek validitas resi yes dikirim tanggal mei benar tidak posisi paket 
193,perusahaan sekelas tidak mutu pelayanannya melempar pengaduan customer koordinasi cabang manajemen pengelolaan komplainnya 
194,gila paket yes muter jakarta kapok tidak deh pakai pakai 
195,jakarta mojokerto seminggu nyampek allah 
196,informasi semarang amp jepara paket hilang butuhkan informasi tanggungjawab progres klaim uang bukan informasi tidak 
197,halo barang kiriman hilang tidak informasi dr tidak penyampaikan mekanisme klaim uang dr sibuk hub tidak callback penyampaian progresnya bad pelayanannya 
198,siang kak zaky admin cek paketnya dalam proses pemberangkatan kota tujuan estimasinya maksimal pengantaran jam mohon ditunggu pengecekan status paket kakak link 
199,beli paket dr seller dijepara seller pakai dr salah tempel nomor resi barang dikami hubungi smg amp jepara dijanji jepara amp semarang tiket pengaduannya srg 
200,resi jt barang mengendap tanggal tanggal statusnya not time deliveryemg kerja libur 
201,seamat menjalankan shalat jumat beragama islam 
202,seamat menjalankan shalat jumat beragama islam 
203,siang kak admin cek paketnya penerusan kota tujuan kota tujuan mohon ditunggu kak estimasi pengiriman cek pengiriman 
204,benar kak pakai tokopedia statusnya tokopedia waiting hampir alasan sellernya menunggu resi pengiriman dibatam 
205,min sistem pick up gmna pilih pick up shopee 
206,konfirmasi pengirimnya cek pengiriman ditanyakan silahkan hubungi media social twitter terima kasih saki 
207,pagi kak rivaldo admin cek resi resi terbaca sistem aketnya kirim kak resi dikirim tanggal jam nomor resi terbaca sdh x jam mohon cek 
208,malam kak dicky admin cek kirimannya masuk kota tujuannya penerusan menuju kota tujuannya mohon ditunggu estimasi kirimannya yaa cek pengiriman berkala 
209,selamat malam kak perihal admin bantu ditanyakan seputar pengirimannya produk sungkan konfirmasikan via dm kak terima kasih sandi 
210,bentuk profesionalnya jelaskan komplainnya wa blok prodesional 
211,kak kiriman handphone digunakan maka proses pengirimannya disarankan jalur darat laut kak gunakan layanan jtr trucking terima kasih irwan 
212,cek pengiriman ditanyakan sungkan konfirmasi media sosial twitter terima kasih sandi 
213,paket terima bilang paket hilang anj 
214,intinya pelayanan buruk 
215,cek pengiriman pakai my tidak pakai web tidak 
216,hai admin kirim barang pakai tujuannya jogja barang dikirim siang barangnya dikirim malam dikirim malam duluan siang resinya gk jalan min mohon bantuannya 
217,tjx dr sore msih stuck warehouse surabaya dikirim kurirnya yes hrusnya dikirim 
218,nomer kurir nya sdh kasih ancer nya tidak diperhatikan konfirmasi kudus 
219,kiriman nomor resi jt hampir mentok depok banget 
220,hai kak maksudnya kakak kirim paket depok kirim paket depok kak kirim paket depok maka infokan area kelurahan kecamatan kakak cek terdekat buka terima kasih irwan 
221,hii selamat sore kakak bantu via dm 
222,hai kak mohon maaf membuat tidak nyaman terkait kakak adm infokan via dm terima kasih tomi 
223,jam operasional kantor cabang jam jam 
224,min si admin salah catat nomor hp penerima paket via popbox dibantu min kasih kode popboxnya tidak 
225,selamat sore kak perihal admin bantu ditanyakan seputar pengirimannya produk sungkan konfirmasikan via dm kak terima kasih sandi 
226,sore kak anggi admin cek paketnya proses pengantaran alamat penerima mohon menunggu kak estimasi maksimal cek pengiriman 
227,hai kak syahrul mohon maaf adamin cek web normal mohon dicek terima kasih atta 
228,website error bad request perbaiki kak seller terganggu 
229,yth barang resi a sigit nana gini mei dalam nya skincare loh rusak nanggung terima kasih mohon balasan secepatnya 
230,min si admin salah catat nomor hp penerima paket via popbox dibantu min 
231,siang kak pengiriman hewan anjing kucing mohon infokan kota alamat tujuan kecamatan kabupaten via dm admin cek terima kasih aily 
232,mengirimkan hewan peliharan anjing kucing gmn nya terimakasih 
233,kak ayu mohon dibantu infokan via dm tanggal jam kejadian alamat email digunakan aplikasi login my nomor handphone digunakan aplikasi login my type amp merk handphone digunakan 
234,coba kak ga email cs blom balas 
235,siang kak ayu mohon maaf terkait akun my kakak terblokir sdh coba uninstall install aplikasinya terima kasih aily 
