,id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
123,1399977721610924032,Wed Jun 02 06:34:33 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@tubirfess Gak gue saranin pake a*teraja pas traffic belanjol lagi tinggi. Kalo bisa juga hindarin pake layanan yang reguler, pakenya yang sameday or minimal nextday. Yg paling mantep sih pake SiCepat aja udah, kurirnya jin semua, baru pesen siang, sore udah nyampe depan pager👍🏻👍🏻👍🏻👍🏻🔥🔥🔥",tidak saranin pakai a teraja pas traffic belanjol hindarin pakai layanan reguler pakenya sameday or minimal nextday paling mantap sih pakai sicepat kurirnya jin pesen siang sore nyampe pager,in,3,0,svvnrise,,,tubirfess,Moon,
124,1399977091353878528,Wed Jun 02 06:32:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sicepat_ekspres 002541371994 ini nomor resi nya kak, dan saya sbg penerima.",nomor resi nya kak sbg penerima,in,0,0,julielevine_,,,sicepat_ekspres,IDN,
125,1399976917302878209,Wed Jun 02 06:31:22 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@julielevine_ Hallo kaka dengan saya Agustin,mohon maaf sebelumnya,untuk mempermudah pengecekan bisa dibantu  untuk informasikan no resi SiCepatnya ka?  Terima kasih ^",hallo kakak agustin mohon maaf mempermudah pengecekan dibantu informasikan resi sicepatnya kakak terima kasih,in,0,0,sicepat_ekspres,,,julielevine_,Indonesia,
126,1399976586087211009,Wed Jun 02 06:30:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sicepat_ekspres sicepat kenapa ya sering banget CC ? Hadeh. Admin counter nya saat lagi ngelempar barang ke keranjang mohon di perhatikan lagi dong keranjang nya. Ketika butuh cepat jadi lama banget karena CC. Udah barang di lempar seenak jidat, salah keranjang juga. Ga efisien.",sicepat banget cc hadeh admin counter nya ngelempar barang keranjang mohon perhatikan keranjang nya butuh cepat banget cc barang lempar seenak jidat salah keranjang ga efisien,in,0,0,julielevine_,,,sicepat_ekspres,IDN,
127,1399976181814808580,Wed Jun 02 06:28:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Askrlfess Blg aja isinya surat minta tolong di plastikin, sicepat SM jnt klo req begitu diplastikin",bilang isinya surat plastikin sicepat jnt req diplastikin,in,0,0,pintullll,,,Askrlfess,,
128,1399975737558372356,Wed Jun 02 06:26:40 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@adjikholifaturr 002706341221 baik kak, ,apakah informasi yang kami sampaikan sudah jelas ? apakah masih ada informasi yang bisa kami bantu kembali ? terimakasih ^",kak informasi informasi bantu terimakasih,in,0,0,sicepat_ekspres,,,adjikholifaturr,Indonesia,
129,1399975721003487233,Wed Jun 02 06:26:36 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@dssr108  baik ka, mohon maaf sebelumnya ya atas kendalnya terima kasih ^",kakak mohon maaf kendalnya terima kasih,in,0,0,sicepat_ekspres,,,dssr108,Indonesia,
130,1399975523250434053,Wed Jun 02 06:25:49 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sicepat_ekspres Sudah cukup. Terima kasih.,terima kasih,in,0,0,dssr108,,,sicepat_ekspres,,
131,1399975287836725252,Wed Jun 02 06:24:53 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",paling mantep emg sicepat sm jnt lainnya au deh,paling mantap emg sicepat jnt au deh,in,0,0,nabilaabl,,,,,
132,1399975176444342276,Wed Jun 02 06:24:27 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sicepat_ekspres Baik, saya tunggu hari ini sampai jam 19:00 wib. Kemarin sudah saya tunggu hingga pukul 22:00 wib tetapi tidak jadi di antar, kalo seumpama hari ini tidak sampai ke penerima apa kompensasi nya?",tunggu jam tunggu hingga tidak seumpama tidak penerima kompensasi nya,in,0,0,adjikholifaturr,,,sicepat_ekspres,Semarang,
